date,year,model,pearson_ic,spearman_rank_ic,n
2017-10-31,2017,ridge,-0.012692992313611737,0.004945540171202237,3281
2017-10-31,2017,elastic_net,-0.011096472226743292,0.00570235948679868,3281
2017-10-31,2017,lgbm,0.016736349791034652,0.024719368436483837,3281
2017-10-31,2017,ranker,0.039794097915384505,0.04256037121780234,3281
2017-11-30,2017,ridge,-0.03562608440852974,-0.0019119318650340574,3349
2017-11-30,2017,elastic_net,-0.03490304134318221,-0.0006474967397224169,3349
2017-11-30,2017,lgbm,0.004225306527496648,0.040364614643701544,3349
2017-11-30,2017,ranker,0.06513566988914796,0.02960177201396704,3349
2017-12-29,2017,ridge,-0.002793618497450779,0.01682576654440468,3453
2017-12-29,2017,elastic_net,-0.01560616873283518,0.005122331419761679,3453
2017-12-29,2017,lgbm,-0.016579234206440658,0.01985189757243943,3453
2017-12-29,2017,ranker,0.01931978023943019,0.01867609135322537,3453
2018-01-31,2018,ridge,-0.009671254862574313,-0.04011353038966671,3443
2018-01-31,2018,elastic_net,-0.005900277531936612,-0.03380177160093753,3443
2018-01-31,2018,lgbm,0.00010040169057562039,0.01428187438280632,3443
2018-01-31,2018,ranker,0.05783812249394453,0.049328392981174495,3443
2018-02-28,2018,ridge,-0.025847955740594137,0.014796976539903955,3424
2018-02-28,2018,elastic_net,-0.029848562527531486,0.0034080873569758024,3424
2018-02-28,2018,lgbm,-0.006028479203715846,-0.009670695563371395,3424
2018-02-28,2018,ranker,-0.031144587592071712,-0.02033122861181491,3424
2018-03-29,2018,ridge,0.02810121172514492,0.021480719215572385,3374
2018-03-29,2018,elastic_net,0.027787350634095362,0.02603842944517048,3374
2018-03-29,2018,lgbm,-0.02263513737821293,-0.0007005500846637494,3374
2018-03-29,2018,ranker,-0.018363896496643807,-0.0005985048486952343,3374
2018-04-30,2018,ridge,0.04515958695333707,0.04240148748597443,3328
2018-04-30,2018,elastic_net,0.04244167298938331,0.03034757438049251,3328
2018-04-30,2018,lgbm,0.056786567220528494,0.08301041118346028,3328
2018-04-30,2018,ranker,0.06235775177809605,0.06222314460450878,3328
2018-05-31,2018,ridge,0.03512254591038032,0.02307093637304408,3355
2018-05-31,2018,elastic_net,0.03585266843932186,0.014768564741371578,3355
2018-05-31,2018,lgbm,-0.007669926262814937,0.02373918847238346,3355
2018-05-31,2018,ranker,-0.010579790356610722,-0.02218304485203225,3355
2018-06-29,2018,ridge,-0.006837188924566436,-0.023181694798812758,3484
2018-06-29,2018,elastic_net,-0.011948848189715129,-0.012581827698203265,3484
2018-06-29,2018,lgbm,0.011775325140732063,-0.011433986554475212,3484
2018-06-29,2018,ranker,-0.05051487636425272,-0.08174831990455877,3484
2018-07-31,2018,ridge,0.007499907763768735,0.008178617686101428,3343
2018-07-31,2018,elastic_net,0.006127441097995567,0.010706035348255389,3343
2018-07-31,2018,lgbm,0.037247718168835,0.07354949701823187,3343
2018-07-31,2018,ranker,0.05629251162057038,0.032635435008588516,3343
2018-08-31,2018,ridge,-0.04001050583967787,-0.03512119058148554,3335
2018-08-31,2018,elastic_net,-0.041315138904284676,-0.03414999077465593,3335
2018-08-31,2018,lgbm,-0.03396103342353721,-0.053116929412541765,3335
2018-08-31,2018,ranker,-0.08002037131815026,-0.11726672484622547,3335
2018-09-28,2018,ridge,0.006679219523428779,0.007329731827620581,3384
2018-09-28,2018,elastic_net,0.004649519467824768,0.003770160920553908,3384
2018-09-28,2018,lgbm,0.007311207762485095,-0.033842543591819894,3384
2018-09-28,2018,ranker,-0.11586280111991334,-0.11263089823136434,3384
2018-10-31,2018,ridge,0.0457781433653103,0.009477234661756389,3360
2018-10-31,2018,elastic_net,0.041669426560704326,0.0016625553164082952,3360
2018-10-31,2018,lgbm,0.0014258765467719252,-0.020373055694181078,3360
2018-10-31,2018,ranker,-0.0518927093392465,-0.05354285471246891,3360
2018-11-30,2018,ridge,0.00281544546093995,-0.007602736162989002,3272
2018-11-30,2018,elastic_net,0.009344187377463837,-0.006419266622975081,3272
2018-11-30,2018,lgbm,-0.018522714768043562,-0.03521505300157759,3272
2018-11-30,2018,ranker,-0.028274874557733944,-0.053734556551307044,3272
2018-12-31,2018,ridge,-0.02021820212950511,0.0020022416521076583,3339
2018-12-31,2018,elastic_net,-0.029526831449192027,-0.003943153184291546,3339
2018-12-31,2018,lgbm,0.012545911465550697,0.03615417402773905,3339
2018-12-31,2018,ranker,0.034798453505116726,0.0017654312765116409,3339
2019-01-31,2019,ridge,0.0035492191430770456,0.008228732256675288,3258
2019-01-31,2019,elastic_net,-0.021101229853676302,0.007033460666457332,3258
2019-01-31,2019,lgbm,0.00203046776844847,-0.025343483776763938,3258
2019-01-31,2019,ranker,-0.01055060180833473,0.02725125307266026,3258
2019-02-28,2019,ridge,-0.023338966418333364,0.020946643160530704,3255
2019-02-28,2019,elastic_net,-0.030298273678117042,-0.03281470678205029,3255
